UTAStopID,StopName,StopLat,StopLon,StopOn,StopOff,StopTotal
101001,Hill Field Rd @ 1891 N,41.08691554,-111.9735812,1.853197,1.28285,3.136047
101003,Hill Field Rd @ 1655 N,41.08376826,-111.9735736,1.487536,7.471011,8.958547
101006,Main St @ 229 N,41.06274163,-111.9686675,1.364427,2.059377,3.423804
101007,Layton Hills Mall,41.07881779,-111.9746272,215.166034,209.716774,424.882808
101009,Main St @ 573 N,41.04431559,-111.9502562,10.078208,11.300336,21.378544
101011,Hill Field Rd @ 1596 N,41.08317427,-111.9733956,3.450182,1.212306,4.662488
101012,Hill Field Rd @ 1748 N,41.08553805,-111.9733925,2.188613,1.381627,3.57024
101016,Gordon Ave @ 289 E,41.074702,-111.9616982,1.185096,0.313782,1.498878
101017,Gordon Ave @ 75 E,41.07472928,-111.9647966,0.763229,0.174112,0.937341
101018,Gordon Ave @ 40 W,41.074766,-111.9676117,1.395136,0.318013,1.713149
101019,Gordon Ave @ 365 W,41.07492032,-111.9731373,0.493189,1.345095,1.838284
101021,Hill Field Rd @ 1398 N,41.08063011,-111.9734928,7.616431,3.45367,11.070101
101023,Gordon Ave @ 222 W,41.07467592,-111.9701101,0.970872,1.17805,2.148922
101024,Gordon Ave @ 54 W,41.07462792,-111.9668252,0.654976,0.60784,1.262816
101025,Gordon Ave @ 58 E,41.07459119,-111.9639352,0.292493,1.324359,1.616852
101026,Gordon Ave @ 336 E,41.07455212,-111.9605995,0.674531,0.915078,1.589609
101027,Gordon Ave @ 570 E,41.07449723,-111.9543384,2.453488,0.388938,2.842426
101029,Fairfield Rd @ 915 N,41.07342758,-111.9503111,1.663778,7.488566,9.152344
101030,Fairfield Rd @ 735 N,41.07058896,-111.9502623,0.593868,4.140085,4.733953
101031,Fairfield Rd @ 447 N,41.06755965,-111.949983,1.789875,3.924683,5.714558
101032,Fairfield Rd @ 325 N,41.06538027,-111.9485224,0.153439,1.145968,1.299407
101033,Fairfield Rd @ 240 N,41.06354364,-111.9468412,4.582174,1.379919,5.962093
101034,Fairfield Rd @ 70 S,41.06068596,-111.9449069,2.254909,10.568084,12.822993
101035,Fairfield Rd @ 150 S,41.05825312,-111.9435847,1.897188,0.385423,2.282611
101036,Main St @ 450 N,41.0409704,-111.9431967,9.294239,8.318921,17.61316
101037,Fairfield Rd @ 55 S,41.06095628,-111.9449085,6.846963,1.983725,8.830688
101038,Fairfield Rd @ 221 N,41.06335946,-111.9467792,2.248396,6.936629,9.185025
101039,Fairfield Rd @ 340 N,41.06567048,-111.9487104,1.985675,0.309999,2.295674
101041,Fairfield Rd @ 748 N,41.0708288,-111.9501558,3.673149,0.505411,4.17856
101042,Fairfield Rd @ 920 N,41.07326532,-111.9502028,5.343237,1.488975,6.832212
101043,Gordon Ave @ 409 E,41.07466932,-111.957501,1.006152,0.789608,1.79576
101044,Gordon Ave @ 402 E,41.07452446,-111.9578088,0.772177,0.402481,1.174658
101050,Main St @ 1969 N,41.08795505,-112.000024,7.306211,3.558845,10.865056
101051,Main St @ 1711 N,41.08569902,-111.997589,3.328739,4.983786,8.312525
101052,Main St @ 1591 N,41.08354749,-111.9948116,10.024971,9.920132,19.945103
101054,Main St @ 1465 N,41.08110941,-111.9908546,1.183585,3.224237,4.407822
101057,Main St @ 1125 N    (Layton),41.07659968,-111.983569,3.736446,4.651464,8.38791
101060,Main St @ 515 N,41.06807555,-111.9740369,8.383259,7.19113,15.574389
101061,Main St @ 301 N,41.06458037,-111.9704399,3.554835,4.768099,8.322934
101062,Main St @ 145 N,41.06127495,-111.9672632,3.057641,5.790783,8.848424
101063,Gentile St @ 70 E,41.0601518,-111.9639033,4.88484,7.14072,12.02556
101065,Fort Ln @ 70 S    (Layton),41.05868888,-111.9577634,12.537542,4.043582,16.581124
101066,Fort Ln @ 180 S,41.0567088,-111.957906,3.478314,1.340435,4.818749
101069,Main St @ 736 S,41.04944298,-111.9569597,0.749983,0.681792,1.431775
101071,Main St @ 836 S,41.0475212,-111.9547466,0.843682,2.505554,3.349236
101076,Main St @ 375 N,41.04095576,-111.9437599,9.251452,9.271752,18.523204
101080,Main St @ 598 N   (Kaysville),41.04499731,-111.9509933,17.659461,12.395978,30.055439
101082,Main St @ 780 N (Layton),41.04901536,-111.9563561,1.515627,0.922342,2.437969
101086,Fort Ln @ 203 S,41.05733474,-111.957678,17.285358,19.018241,36.303599
101088,Gentile St @ 357 E    (Layton),41.06007601,-111.9597705,26.694967,18.461851,45.156818
101089,Gentile St @ 223 E,41.06011244,-111.962267,17.361854,8.791465,26.153319
101091,Gentile St @ 51 E,41.06026377,-111.9648884,9.785263,7.413843,17.199106
101092,Main St @ 172 N,41.06266096,-111.9683821,2.901874,1.748626,4.6505
101095,Main St @ 570 N,41.06760803,-111.9733047,9.479822,10.651255,20.131077
101097,Main St @ 688 N    (Layton),41.07089975,-111.976742,63.390923,45.835864,109.226787
101098,Main St @ 1040 N,41.07483338,-111.9809758,27.868289,12.522633,40.390922
101099,Main St @ 1130 N   (Layton),41.076705,-111.9834496,6.438352,2.594429,9.032781
101100,Main St @ 1380 N,41.08012469,-111.9889542,7.898945,4.550807,12.449752
101101,Main St @ 1538 N,41.0820141,-111.9920753,1.394351,1.99675,3.391101
101102,Main St @ 1580 N,41.08367233,-111.994712,11.955214,9.053888,21.009102
101104,Main St @ 1986 N    (Layton),41.08841193,-112.000215,10.923447,18.342495,29.265942
101110,Gordon Ave @ 180 W,41.07479848,-111.970548,0.444338,0.623428,1.067766
101112,Hill Field Rd @ 1415 N,41.08008656,-111.9737868,1.631182,10.579974,12.211156
101119,Main St @ 1255 N    (Layton),41.07843627,-111.9864533,4.082221,8.102055,12.184276
101121,Fort Ln @ 410 S,41.05370927,-111.9578342,2.283565,4.206624,6.490189
101122,Main St @ 315 N,41.03987144,-111.9409438,5.147388,4.965876,10.113264
101123,Fairfield Rd @ 330 S,41.05603408,-111.9423708,0.017241,0.791676,0.808917
101124,Fairfield Rd @ 454 S,41.05385242,-111.9409999,0.037736,0.615531,0.653267
101125,Fairfield Rd @ 389 S,41.05494488,-111.9416428,0.017241,0.018182,0.035423
101126,Fairfield Rd @ 301 S,41.0569078,-111.9427846,1.602775,0.141789,1.744564
101127,Fairfield Rd @ 125 S,41.0591326,-111.9439543,2.182597,1.507393,3.68999
101131,3200 W @ 4165 S,40.68103844,-111.9674887,1.017007,0.917366,1.934373
101136,Redwood Rd @ 2641 S,40.7134271,-111.9388488,4.168782,9.124405,13.293187
101140,1700 S @ 1750 W,40.73319045,-111.9409389,22.139617,9.638715,31.778332
101141,Redwood Rd @ 3171 S,40.70302795,-111.9388376,22.067989,27.263646,49.331635
101144,3500 S @ 7742 W,40.69650935,-112.0763941,2.722746,3.376567,6.099313
101148,1700 S @ 722 E,40.73348504,-111.8704477,12.057278,2.378654,14.435932
101149,1700 S @ 920 E,40.7334753,-111.8649377,16.393999,12.763849,29.157848
101150,1700 S @ 1118 E,40.73349263,-111.859167,9.301391,13.281993,22.583384
